,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,40,US,1619964317,44,42.6001,-73.9662,60.8,5.75
1,Kapaa,90,US,1619964545,88,22.0752,-159.319,73.4,16.11
2,Roald,0,NO,1619964545,57,62.5833,6.1333,46.4,14.97
3,Iqaluit,90,CA,1619964546,70,63.7506,-68.5145,37.4,14.97
4,Zhigansk,100,RU,1619964546,99,66.7697,123.3711,32.04,4.47
5,Huangnihe,100,CN,1619964546,56,43.5583,128.0239,46.2,5.57
6,Jalu,5,LY,1619964547,6,29.0331,21.5482,107.33,9.04
7,Vicuña,100,CL,1619964547,27,-30.0319,-70.7081,66.99,4.5
8,Haines Junction,36,CA,1619964547,93,60.7522,-137.5108,21.2,1.5
9,Hithadhoo,99,MV,1619964548,72,-0.6,73.0833,81.59,3.04
10,Vaini,75,TO,1619964548,78,-21.2,-175.2,73.4,10.36
11,Hermanus,0,ZA,1619964548,34,-34.4187,19.2345,84.0,3.0
12,Provideniya,100,RU,1619964549,80,64.3833,-173.3,22.01,12.95
13,Torbay,20,CA,1619964549,53,47.6666,-52.7314,46.0,27.63
14,Busselton,100,AU,1619964549,89,-33.65,115.3333,57.0,1.99
15,Sechura,61,PE,1619964549,66,-5.5569,-80.8222,73.24,11.34
16,Māngrol,2,IN,1619964550,65,21.1167,70.1167,84.51,13.71
17,Taltal,5,CL,1619964550,66,-25.4,-70.4833,66.88,4.72
18,Bud,1,US,1619964550,59,39.447,-86.1758,68.0,6.91
19,Hong Kong,100,HK,1619964330,64,22.2855,114.1577,79.0,1.01
20,Petropavlovsk-Kamchatskiy,90,RU,1619964551,100,53.0452,158.6483,32.0,6.71
21,Helong,100,CN,1619964551,61,42.5397,128.9972,45.93,5.73
22,Cidreira,0,BR,1619964551,53,-30.1811,-50.2056,73.04,1.95
23,Huarmey,6,PE,1619964552,74,-10.0681,-78.1522,70.83,6.98
24,Juradó,94,CO,1619964552,71,7.1053,-77.7641,81.43,2.37
25,Faanui,2,PF,1619964552,68,-16.4833,-151.75,80.22,5.14
26,Sahaspur,14,IN,1619964553,18,29.1333,78.6167,93.83,7.38
27,Hilo,90,US,1619964553,78,19.7297,-155.09,71.6,5.75
28,Rikitea,95,PF,1619964553,72,-23.1203,-134.9692,76.84,14.27
29,Mount Gambier,90,AU,1619964526,94,-37.8333,140.7667,53.6,6.91
30,Kavaratti,92,IN,1619964554,69,10.5669,72.642,85.77,4.81
31,Garissa,77,KE,1619964554,43,-0.4536,39.6401,91.58,15.14
32,Ambilobe,56,MG,1619964554,83,-13.2,49.05,79.48,1.07
